name,placeId,_id,type,address,location
Lac Long Quan Primary School,5d3c8e0e9db7096af5685cdb7ad586e2a9198d68,ObjectId(5db3fa187053c006d05484dc),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","225 Lò Siêu, Phường 8, Quận 11, Hồ Chí Minh","{""lat"":""10.7616913"",""lng"":""106.6511197""}"
Duong Minh Chau Primary School,32addbfbf38ecdb6be1f81ca9813c3341b02d1fc,ObjectId(5db3fa187053c006d05484dd),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","34 Nguyễn Lâm, Phường 6, Quận 10, Hồ Chí Minh","{""lat"":""10.7625091"",""lng"":""106.6638425""}"
Duong Minh Chau Primary School,32addbfbf38ecdb6be1f81ca9813c3341b02d1fc,ObjectId(5db3fa187053c006d05484de),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","34 Nguyễn Lâm, Phường 6, Quận 10, Hồ Chí Minh","{""lat"":""10.7625091"",""lng"":""106.6638425""}"
Trường Tiểu học Hùng Vương,4743f40fb32905e292ffc8ab33836eeb0a8c0806,ObjectId(5db3fa187053c006d05484df),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","266 Hồng Bàng, Phường 15, Quận 5, Hồ Chí Minh","{""lat"":""10.7538756"",""lng"":""106.6527011""}"
Trường Tiểu học Hùng Vương,4743f40fb32905e292ffc8ab33836eeb0a8c0806,ObjectId(5db3fa187053c006d05484e0),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","266 Hồng Bàng, Phường 15, Quận 5, Hồ Chí Minh","{""lat"":""10.7538756"",""lng"":""106.6527011""}"
Trường Tiểu Học Đại Thành,9e8a55608e2881a5d5c4ab878a813e36c61147e6,ObjectId(5db3fa187053c006d05484e1),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","79/22 Âu Cơ, Phường 14, Quận 11, Hồ Chí Minh","{""lat"":""10.7701002"",""lng"":""106.649938""}"
Trường Tiểu Học Đại Thành,9e8a55608e2881a5d5c4ab878a813e36c61147e6,ObjectId(5db3fa187053c006d05484e2),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","79/22 Âu Cơ, Phường 14, Quận 11, Hồ Chí Minh","{""lat"":""10.7701002"",""lng"":""106.649938""}"
Thien Ho Duong Primary School,9affd9fe44409bb6a686a07a62812bbad6a95782,ObjectId(5db3fa187053c006d05484e3),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","157 Tô Hiến Thành, Phường 12, Quận 10, Hồ Chí Minh","{""lat"":""10.77694"",""lng"":""106.6644785""}"
Thien Ho Duong Primary School,9affd9fe44409bb6a686a07a62812bbad6a95782,ObjectId(5db3fa187053c006d05484e4),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","157 Tô Hiến Thành, Phường 12, Quận 10, Hồ Chí Minh","{""lat"":""10.77694"",""lng"":""106.6644785""}"
Trường Tiểu học Chính Nghĩa,dd74dbef49e07f4c1aa6f39d2b2900947ae6c8d7,ObjectId(5db3fa187053c006d05484e5),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","676 Nguyễn Trãi, Phường 11, Quận 5, Hồ Chí Minh","{""lat"":""10.753905"",""lng"":""106.6623545""}"
Trường Tiểu học Chính Nghĩa,dd74dbef49e07f4c1aa6f39d2b2900947ae6c8d7,ObjectId(5db3fa187053c006d05484e6),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","676 Nguyễn Trãi, Phường 11, Quận 5, Hồ Chí Minh","{""lat"":""10.753905"",""lng"":""106.6623545""}"
Trường tiểu học Đề Thám,eee95d2eac96f08c1fd9e85758ff54a949ebf493,ObjectId(5db3fa187053c006d05484e7),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","10 Lê Đại Hành, Phường 7, Quận 11, Hồ Chí Minh","{""lat"":""10.7585862"",""lng"":""106.6594118""}"
Trường tiểu học Đề Thám,eee95d2eac96f08c1fd9e85758ff54a949ebf493,ObjectId(5db3fa187053c006d05484e8),"[""primary_school"",""school"",""point_of_interest"",""establishment""]","10 Lê Đại Hành, Phường 7, Quận 11, Hồ Chí Minh","{""lat"":""10.7585862"",""lng"":""106.6594118""}"
